素材ID,名称,类型,作者,标签,位置,提纯,知识,备注
book_0001,一世之尊,REFERENCE_WORK,爱潜水的乌贼,,01_原著/一世之尊,可用,未开始,
book_0002,上品寒士,REFERENCE_WORK,贼道三痴,,01_原著/上品寒士,可用,未开始,
book_0003,亮剑,REFERENCE_WORK,,,01_原著/亮剑,可用,未开始,
book_0004,创业在晚唐,REFERENCE_WORK,痴人陈,,01_原著/创业在晚唐,可用,未开始,
book_0005,十日终焉,REFERENCE_WORK,杀虫队队员,,01_原著/十日终焉,可用,未开始,
book_0006,唐砖,REFERENCE_WORK,,,01_原著/唐砖,可用,未开始,
book_0007,回到明朝当王爷,REFERENCE_WORK,月关,,01_原著/回到明朝当王爷,可用,未开始,
book_0008,大奉打更人,REFERENCE_WORK,,,01_原著/大奉打更人,可用,未开始,
book_0009,大宋的智慧,REFERENCE_WORK,,,01_原著/大宋的智慧,可用,未开始,
book_0010,奥术神座,REFERENCE_WORK,爱潜水的乌贼,,01_原著/奥术神座,可用,未开始,
book_0011,孺子帝,REFERENCE_WORK,冰临神下,,01_原著/孺子帝,可用,未开始,
book_0012,官居一品,REFERENCE_WORK,三戒大师,,01_原著/官居一品,可用,未开始,
book_0013,宰执天下,REFERENCE_WORK,cuslaa,,01_原著/宰执天下,可用,未开始,
book_0014,将夜,REFERENCE_WORK,猫腻,,01_原著/将夜,可用,未开始,
book_0015,庆余年,REFERENCE_WORK,猫腻,,01_原著/庆余年,可用,未开始,
book_0016,异兽迷城,REFERENCE_WORK,彭湃,,01_原著/异兽迷城,可用,未开始,
book_0017,我不是戏神,REFERENCE_WORK,三九音域,,01_原著/我不是戏神,可用,未开始,
book_0018,我在精神病院学斩神,REFERENCE_WORK,三九音域,,01_原著/我在精神病院学斩神,可用,未开始,
book_0019,放开那个女巫,REFERENCE_WORK,二目,,01_原著/放开那个女巫,可用,未开始,
book_0020,明天下,REFERENCE_WORK,孑与2,,01_原著/明天下,可用,未开始,
book_0021,晚明,REFERENCE_WORK,柯山梦,,01_原著/晚明,可用,未开始,
book_0022,极品家丁,REFERENCE_WORK,禹岩,,01_原著/极品家丁,可用,未开始,
book_0023,枭臣,REFERENCE_WORK,更俗,,01_原著/枭臣,可用,未开始,
book_0024,步步生莲,REFERENCE_WORK,月关,,01_原著/步步生莲,可用,未开始,
book_0025,死人经,REFERENCE_WORK,冰临神下,,01_原著/死人经,可用,未开始,
book_0026,汉乡,REFERENCE_WORK,孑与2,,01_原著/汉乡,可用,未开始,
book_0027,琅琊榜,REFERENCE_WORK,海宴,,01_原著/琅琊榜,可用,未开始,
book_0028,秦吏,REFERENCE_WORK,七月新番,,01_原著/秦吏,可用,未开始,
book_0029,窃明,REFERENCE_WORK,大爆炸（灰熊猫）,,01_原著/窃明,可用,未开始,
book_0030,绍宋,REFERENCE_WORK,榴弹怕水,,01_原著/绍宋,可用,未开始,
book_0031,覆汉,REFERENCE_WORK,榴弹怕水,,01_原著/覆汉,可用,未开始,
book_0032,诡秘之主,REFERENCE_WORK,爱潜水的乌贼,,01_原著/诡秘之主,可用,未开始,
book_0033,道诡异仙,REFERENCE_WORK,狐尾的笔,,01_原著/道诡异仙,可用,未开始,
