完整路径,文件名,扩展名,文件大小,修改时间,SHA256,当前所属目录,推测资料类型,推测作品名,计划目标路径,是否存在同名冲突,是否需要人工核验
D:\BaiduSyncdisk\AI-Wirte\.gitignore,.gitignore,,352,2026-08-04 16:34:22,74998362ab5070f208ce07274e8dcd6ef2ad6c87ed0ad5fc758e68348a8591d0,(根目录),git配置文件,—,保留原位(仓库根目录),否,是
D:\BaiduSyncdisk\AI-Wirte\00_项目说明与索引\README_目录使用说明.md,README_目录使用说明.md,.md,784,2026-07-28 19:03:09,e1abbe606d9117fc5db6b46bda52e55f995a5efb0fec564b32f2c46da1da095d,00_项目说明与索引,项目控制文档,—,00_项目控制/README_目录使用说明.md,,否
D:\BaiduSyncdisk\AI-Wirte\00_项目说明与索引\世界文学原始资料整理报告.md,世界文学原始资料整理报告.md,.md,5797,2026-08-05 07:22:49,104ec82d6508978806a71a7deffadfed5d7f6e98e329929bc9dbea0bd01ff105,00_项目说明与索引,项目控制文档,—,00_项目控制/世界文学原始资料整理报告.md,,否
D:\BaiduSyncdisk\AI-Wirte\00_项目说明与索引\待下载小说清单.md,待下载小说清单.md,.md,5332,2026-08-04 16:04:01,f2fc524d5b0407cec8cc3dc80dd2473daeddf981d68340d80d389464e1e8fa95,00_项目说明与索引,项目控制文档,—,00_项目控制/待下载小说清单.md,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\其他类\亮剑(都梁).epub,亮剑(都梁).epub,.epub,563957,2026-08-05 07:32:02,238dafc2684f3b7e100b474e834969399057166d347c7ee15072a1a59c3a0061,01_原始训练材料/01_网文与世界文学/01_相关网络小说/其他类,网络小说,亮剑,01_原始素材/01_网络小说/亮剑/00_原始文件/亮剑(都梁).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\其他类\亮剑(都梁).txt,亮剑(都梁).txt,.txt,1091310,2026-08-04 15:42:06,a7397b104d6452c4f3246528b6bbe5b8d9375b87fedba62d14d76be8be0953be,01_原始训练材料/01_网文与世界文学/01_相关网络小说/其他类,网络小说,亮剑,01_原始素材/01_网络小说/亮剑/00_原始文件/亮剑(都梁).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\宗教思想类\奥术神座(爱潜水的乌贼).epub,奥术神座(爱潜水的乌贼).epub,.epub,6108434,2026-08-05 07:32:06,5de107a08182be46c35e5f0ffd8a2ce4440d41d50a7b839f4e5cb3c82339a190,01_原始训练材料/01_网文与世界文学/01_相关网络小说/宗教思想类,网络小说,奥术神座,01_原始素材/01_网络小说/奥术神座/00_原始文件/奥术神座(爱潜水的乌贼).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\宗教思想类\奥术神座(爱潜水的乌贼).txt,奥术神座(爱潜水的乌贼).txt,.txt,9930931,2026-08-04 15:42:06,166c7cbe7390fb055ae26ba4122fe3805e7bc79edc99b1f1ef8728a917712a24,01_原始训练材料/01_网文与世界文学/01_相关网络小说/宗教思想类,网络小说,奥术神座,01_原始素材/01_网络小说/奥术神座/00_原始文件/奥术神座(爱潜水的乌贼).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\宗教思想类\将夜(猫腻).epub,将夜(猫腻).epub,.epub,6426502,2026-08-05 07:31:35,43704bce13b4a2e3ee0e19ec8ddb7cec825bb78bc223f808dfdbaaa78cd3cbf5,01_原始训练材料/01_网文与世界文学/01_相关网络小说/宗教思想类,网络小说,将夜,01_原始素材/01_网络小说/将夜/00_原始文件/将夜(猫腻).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\宗教思想类\将夜(猫腻).txt,将夜(猫腻).txt,.txt,11735338,2026-08-04 15:42:06,6ec311ec8f184812158fc6167c99c2f69777ed37519ac9fe7668ad31dbb42624,01_原始训练材料/01_网文与世界文学/01_相关网络小说/宗教思想类,网络小说,将夜,01_原始素材/01_网络小说/将夜/00_原始文件/将夜(猫腻).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\宗教思想类\诡秘之主(爱潜水的乌贼).epub,诡秘之主(爱潜水的乌贼).epub,.epub,7899035,2026-08-05 07:31:36,49b87970437b981aacc2400f0ef709ef29e1ce6f0f3180f868b51a5c96d2345e,01_原始训练材料/01_网文与世界文学/01_相关网络小说/宗教思想类,网络小说,诡秘之主,01_原始素材/01_网络小说/诡秘之主/00_原始文件/诡秘之主(爱潜水的乌贼).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\宗教思想类\诡秘之主(爱潜水的乌贼).txt,诡秘之主(爱潜水的乌贼).txt,.txt,14222598,2026-08-04 15:42:06,1f8d9c681e1960d8283aafa0416c61923970cc55d932050728bcc4e79ddbd5a1,01_原始训练材料/01_网文与世界文学/01_相关网络小说/宗教思想类,网络小说,诡秘之主,01_原始素材/01_网络小说/诡秘之主/00_原始文件/诡秘之主(爱潜水的乌贼).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\宗教思想类\道诡异仙(狐尾的笔).epub,道诡异仙(狐尾的笔).epub,.epub,4111471,2026-08-05 07:32:09,4fbde72acf957b4387c7880e16ab28cf2ec6672e951b31e20f62370e571b58e0,01_原始训练材料/01_网文与世界文学/01_相关网络小说/宗教思想类,网络小说,道诡异仙,01_原始素材/01_网络小说/道诡异仙/00_原始文件/道诡异仙(狐尾的笔).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\宗教思想类\道诡异仙(狐尾的笔).txt,道诡异仙(狐尾的笔).txt,.txt,7267985,2026-08-04 15:42:06,151e6966c3a536af03679b92051d051a9da262a84fc9b0b85a9a2a4690ada659,01_原始训练材料/01_网文与世界文学/01_相关网络小说/宗教思想类,网络小说,道诡异仙,01_原始素材/01_网络小说/道诡异仙/00_原始文件/道诡异仙(狐尾的笔).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\一世之尊(爱潜水的乌贼).epub,一世之尊(爱潜水的乌贼).epub,.epub,8129275,2026-08-05 07:32:06,4e688d3f446d78f87a0562fc4b0deeb97fc69f737aa956994a45fe606716fcd2,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,一世之尊,01_原始素材/01_网络小说/一世之尊/00_原始文件/一世之尊(爱潜水的乌贼).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\一世之尊(爱潜水的乌贼).txt,一世之尊(爱潜水的乌贼).txt,.txt,14219677,2026-08-04 15:42:06,6b3d1142063f73c7e0d8c1b93026bed280c1fb5e89fdc1130c4da183c16f226e,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,一世之尊,01_原始素材/01_网络小说/一世之尊/00_原始文件/一世之尊(爱潜水的乌贼).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\十日终焉(杀虫队队员).epub,十日终焉(杀虫队队员).epub,.epub,5676263,2026-08-05 07:31:55,443e6ffc5ed5ed76c3348ec34f31ee42c6a8200720cdc5194cb9092221d5f60f,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,十日终焉,01_原始素材/01_网络小说/十日终焉/00_原始文件/十日终焉(杀虫队队员).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\十日终焉(杀虫队队员).txt,十日终焉(杀虫队队员).txt,.txt,10268782,2026-08-04 15:42:06,45821c4c380f203282c9e7482af7e123a1bce57db10c19d75f6b291cfe01d67a,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,十日终焉,01_原始素材/01_网络小说/十日终焉/00_原始文件/十日终焉(杀虫队队员).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\大奉打更人(卖报小郎君).epub,大奉打更人(卖报小郎君).epub,.epub,6634108,2026-08-05 07:31:57,82d69dd2f6e79b6fe2c66c76ba09084c0e64cba9d6685a6a98920efecc90a269,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,大奉打更人,01_原始素材/01_网络小说/大奉打更人/00_原始文件/大奉打更人(卖报小郎君).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\大奉打更人(卖报小郎君).txt,大奉打更人(卖报小郎君).txt,.txt,12497750,2026-08-04 15:42:06,6e1149f7270648c98450febee378d6370542a19b481feb3c879686b9f9d647c9,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,大奉打更人,01_原始素材/01_网络小说/大奉打更人/00_原始文件/大奉打更人(卖报小郎君).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\庆余年(猫腻).epub,庆余年(猫腻).epub,.epub,5142236,2026-08-05 07:31:35,91aaf63f98feb9d462184451cb98ca04519b68cdd27a7dc907e7d8d07dbe07f9,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,庆余年,01_原始素材/01_网络小说/庆余年/00_原始文件/庆余年(猫腻).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\庆余年(猫腻).txt,庆余年(猫腻).txt,.txt,9619871,2026-08-04 15:42:06,894b630208834a86e844652adf3eeb73e9b1d34a78b35574de44d784fb30e20d,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,庆余年,01_原始素材/01_网络小说/庆余年/00_原始文件/庆余年(猫腻).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\异兽迷城(彭湃).txt,异兽迷城(彭湃).txt,.txt,9378681,2026-07-28 19:05:05,bb10a776e3adfec4cd4ef4136b970f41fa83d30e10d109720df4db0d041cbc18,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,异兽迷城,01_原始素材/01_网络小说/异兽迷城/00_原始文件/异兽迷城(彭湃).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\我不是戏神(三九音域).epub,我不是戏神(三九音域).epub,.epub,7546700,2026-08-05 07:32:36,b5029fb03ef5fcf0d9caaa75768e9dbb7fe91458eb75ac5fba71f5c7f79de687,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,我不是戏神,01_原始素材/01_网络小说/我不是戏神/00_原始文件/我不是戏神(三九音域).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\我不是戏神(三九音域).pdf,我不是戏神(三九音域).pdf,.pdf,14339219,2026-07-27 06:01:26,b5c133f61091f6af873f61d2467d7becbd3e6372c191170248de1b77f19ce0cc,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,我不是戏神,01_原始素材/01_网络小说/我不是戏神/00_原始文件/我不是戏神(三九音域).pdf,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\我在精神病院学斩神(三九音域).epub,我在精神病院学斩神(三九音域).epub,.epub,7934819,2026-08-05 07:32:44,a0b2ad7cd9c3dc97c32c205818b5b72186f0dbceb3dd2bc850d67bdf23d8a835,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,我在精神病院学斩神,01_原始素材/01_网络小说/我在精神病院学斩神/00_原始文件/我在精神病院学斩神(三九音域).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\我在精神病院学斩神(三九音域).pdf,我在精神病院学斩神(三九音域).pdf,.pdf,14886393,2026-07-27 06:14:03,3f64014d23fbd9dc44e56f0dd6761da6a4e1be4a3b688ffbe407425ae1be7f32,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,我在精神病院学斩神,01_原始素材/01_网络小说/我在精神病院学斩神/00_原始文件/我在精神病院学斩神(三九音域).pdf,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\死人经(洛带).epub,死人经(洛带).epub,.epub,4995857,2026-08-05 07:32:02,eb06b3bccbe112a78fcb40e553d2e621f80cfbf4a40fbac5fa2d0e45f54ce527,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,死人经,01_原始素材/01_网络小说/死人经/00_原始文件/死人经(洛带).epub,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\死人经(洛带).txt,死人经(洛带).txt,.txt,9115498,2026-08-04 15:42:06,d673bbed3c2d7a705fe60bf5838025f5f5f9a3bbf8710c31d763260123ce47bc,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,死人经,01_原始素材/01_网络小说/死人经/00_原始文件/死人经(洛带).txt,,否
D:\BaiduSyncdisk\AI-Wirte\01_原始训练材料\01_网文与世界文学\01_相关网络小说\悬疑身份类\琅琊榜(海宴).epub,琅琊榜(海宴).epub,.epub,1217918,2026-08-05 07:31:32,bec39d642a046c278093532f10b57d6a369bea52248fa161a3657836e53bdcc1,01_原始训练材料/01_网文与世界文学/01_相关网络小说/悬疑身份类,网络小说,琅琊榜,01_原始素材/01_网络小说/琅琊榜/00_原始文件/琅琊榜(海宴).epub,,否
